text,label
CHED confirms academic freeze is fake,real
CHED announces free tuition for all private students,fake
DepEd clarifies viral class suspension post is not real,real
DepEd to give 20K cash allowance to all senior high students,fake
No class suspension announced by CHED,real
CHED grants scholarships to 1000 students,real
Viral claim: CHED suspends exams nationwide – FALSE,fake
DepEd to require uniforms for online classes – FAKE,fake
Free WiFi to be installed in all schools – DepEd confirms,real
CHED plans to shut down all public universities – HOAX,fake
DepEd launches Brigada Eskwela 2024 nationwide,real
Scholarship scam pretending to be from CHED circulating online,fake
CHED supports blended learning expansion for higher education,real
Fake post: DepEd cancels academic year due to astrology predictions,fake
CHED debunks viral TikTok video on graduation cancellations,real
DepEd reminds students not to believe in class suspension memes,real
FAKE NEWS: CHED to replace schools with AI-powered virtual teachers,fake
CHED continues face-to-face learning for all universities,real
False claim: CHED giving free smartphones to all college students,fake
DepEd confirms modules for 2024 are ready and available,real
CHED extends deadline for scholarship applications,real
DepEd warns against fake account giving exam leak tips,fake
Fact check: CHED is not closing state universities,real
Claim that DepEd will distribute PHP 10K cash aid is FALSE,fake
CHED to support research grants for public colleges,real
DepEd announces mental health programs in schools,real
HOAX: CHED to suspend all classes during Mercury retrograde,fake
CHED urges students to report fake scholarship sites,real
DepEd continues to enforce anti-bullying policies,fake
FALSE: CHED planning to ban laptops in universities,real
DepEd confirms no mass promotion policy this year,real
DepEd to pilot AI in classroom teaching strategies,fake
Scam alert: Fake CHED documents asking for money exposed,real
CHED funds innovation hubs in state universities,real
DepEd discredits fake Facebook post on K-12 abolishment,real
CHED provides training for faculty on digital transformation,fake
FAKE: CHED offers lifetime free tuition to everyone,fake
DepEd validates viral tweet about exam cancellation – FALSE,real
CHED launches nationwide internship program,fake
False news: DepEd mandates 12-hour school days,real
DepEd addresses rumors of K-12 rollback,fake
Scholarship grant scam using CHED logo surfaces again,real
DepEd promotes reading month with library events,fake
Claim about CHED paying student loans automatically is fake,real
CHED opens new regional office in Davao,real
Fake news: DepEd merging with DOH to cut costs,real
CHED clarifies viral photo of closed universities is outdated,real
DepEd supports digital literacy programs for teachers,fake
DepEd to conduct learning loss assessment post-pandemic,real
Hoax: CHED introduces surprise national exam for all students,real
